cryptoName,cryptoRoute,cryptoTicker
Modefi,mod,MOD
Atari Token,atri,ATRI
BUX Token,bux,BUX
Crypton,crp,CRP
BOLT,bolt,BOLT
ChangeNOW Token,now,NOW
Raven Protocol,raven,RAVEN
Bitrue Coin,btr,BTR
Xaya,chi,CHI
DogeBonk,dobo,DOBO
LABEL Foundation,lbl,LBL
Mint Marble,mim,MIM
Bifrost,bnc,BNC
Electric Vehicle Zone,evz,EVZ
Hiblocks,hibs,HIBS
RocketX exchange,rvf,RVF
